Pool id,step_importance
0,0.0
1,0.09696969696969696
2,0.049689440993788817
3,0.060606060606060594
4,0.04347826086956521
5,0.07878787878787877
6,0.03726708074534161
7,0.07272727272727271
8,0.03726708074534161
9,0.04242424242424241
10,0.03726708074534161
11,0.02424242424242424
12,0.03105590062111801
13,0.04242424242424241
14,0.04347826086956521
15,0.02424242424242424
16,0.06832298136645963
17,0.060606060606060594
18,0.018633540372670804
19,0.01818181818181818
20,0.0062111801242236
21,0.09696969696969696
22,0.03105590062111801
23,0.103030303030303
24,0.12422360248447203
25,0.060606060606060594
26,0.024844720496894408
27,0.01212121212121212
28,0.11801242236024843
29,0.036363636363636355
30,0.018633540372670808
31,0.030303030303030297
32,0.049689440993788817
33,0.09090909090909088
34,0.12422360248447203
35,0.0
36,0.03105590062111801
37,0.030303030303030297
38,0.10559006211180123
39,0.01818181818181818
